Title,Id,Trailer Link,Director,Cast,genre_ids,Genre,Budget,Revenue,Overview,Homepage,Year,Runtime,Popularity,Adult,Release_Date,Original_Title,Original_Language,Tagline,Vote_Average,Vote_Count
Filmistaan,161064,https://www.youtube.com/watch?v=p-0LWnz8Ut0,Nitin Kakkar,"['Sharib Hashmi', 'Kumud Mishra', 'Gopal Datt', 'Inaamulhaq']",,Comedy,0,0,"Sunny is struggling to make a living in the Bollywood industry. He takes a job as assistant director (the operative word being assistant) for an American documentary filmmaking team, but during filming in the Indian Rajasthan province he is kidnapped by Pakistani terrorists – and detained in a small village in Pakistan. The situation is delicate, but the villagers share Sunny's passion for Bollywood film, and little by little the hostage and the guardians come to understand each other. Eventually, Sunny lays a plan to escape with the help of the villagers.",,2014,117,1.631,False,2014-06-06,Filmistaan,hi,,6.929,14
Holiday,273886,https://www.youtube.com/watch?v=fjx_G3QzOag,A.R. Murugadoss,"['Akshay Kumar', 'Sonakshi Sinha', 'Apoorva Arora', 'Sumeet Raghvan', 'Zakir Hussain', 'Govinda', 'Freddy Daruwala', 'Anchal Singh', 'Cherry Mardia', 'Rajiv Kachroo']",,"Action, Crime, Thriller",0,0,"A soldier on vacation finds himself hunting down a terrorist.  A military officer attempts to hunt down a terrorist, destroy a terrorist gang and deactivate the sleeper cells under its command.",,2014,170,6.804,False,2014-06-06,होलीडे,hi,A Soldier is Never Off Duty,6.225,109
Fugly!,299618,https://www.youtube.com/watch?v=17x_EXMIGBo,Alfredo De Villa,"['John Leguizamo', 'Radha Mitchell', 'Rosie Perez', 'Griffin Dunne', 'Yul Vazquez', 'Ally Sheedy', 'Tomas Milian', 'Olga Merediz', 'Jackie Moore', 'Anna Dudnik', 'Hannah Fierman', 'Ginger Kroll', 'Natalia Segura', 'Frank Rodriguez', 'Julia Grob', 'Jessica Pimentel']",,Comedy,0,0,"Fame proves elusive for comic Jesse Sanchez, who reflects on life from the bottom of a bathtub in this film based on John Leguizamo's one-man show. The story that unfolds has it all: love, loss, mistakes, adventure and redemption.",,2014,86,2.844,False,2014-11-05,Fugly!,en,A Latino comic's near-death experience forces him to revisit his personal and professional highs and lows.,5.1,7
Machhli Jal Ki Rani Hai,415908,,Debaloy Dey,"['Swara Bhasker', 'Reema Debnath', 'Saurabh Dubey', 'Abhinav Jain', 'Sakha Kalyani', 'Hemant Pandey', 'Deepraj Rana', 'Murali Sharma']",,Horror,0,0,"It's not just a matter of one spirit, it's a matter of multiple possessions in one body.",,2014,120,0.825,False,2014-06-13,मछली जल की रानी है,hi,,4.5,4
Humshakals,273505,,Sajid Khan,"['Saif Ali Khan', 'Ritesh Deshmukh', 'Ram Kapoor', 'Bipasha Basu', 'Tamannaah Bhatia', 'Esha Gupta', 'Nawab Shah', 'Satish Shah', 'Chunky Pandey', 'Akash Khurana', 'Darshan Jariwala', 'Suresh Menon']",,Comedy,0,0,"A comedy centered around three people who each have a lookalike of a lookalike, all with the same name.",,2014,160,2.642,False,2014-06-20,हमशकल्स,hi,Nine Times The Fun,3.5,37
Ek Villain,276935,https://www.youtube.com/watch?v=FLah0H5BYmY,Mohit Suri,"['Ritesh Deshmukh', 'Sidharth Malhotra', 'Shraddha Kapoor', 'Shaad Randhawa', 'Aamna Shariff', 'Remo Fernandes', 'Asif Basra', 'Kamaal Rashid Khan', 'Rishina Kandhari', 'Prachi Desai', 'Praveena Deshpande', 'Anagha Joshi', 'Rumana Molla', 'Sidhaant Sachdev']",,"Action, Crime, Thriller",0,1278108,An ex-gangster reenters the world of violence after his pregnant wife is murdered and torments the killer by capturing and releasing him again and again.,,2014,129,8.638,False,2014-06-27,एक विलन,hi,There's one in every love story,6.5,126
Bobby Jasoos,272420,https://www.youtube.com/watch?v=WasrL2THRjk,Samar Shaikh,"['Vidya Balan', 'Ali Fazal', 'Arjan Bajwa', 'Supriya Pathak', 'Tanvi Azmi', 'Vinay Varma']",,"Drama, Action, Comedy",0,0,"A film that celebrates the aspiration of Bobby, who wants to become the number one detective in the old city area of Hyderabad.",,2014,121,2.337,False,2014-07-04,Bobby Jasoos,hi,,5.667,27
Lekar Hum Deewana Dil,279871,https://www.youtube.com/watch?v=ZV2knGdIJNI,Arif Ali,"['Armaan Jain', 'Deeksha Seth', 'Sudeep Sahir', 'Nikita Dutta']",,"Romance, Comedy",0,0,"Set in uber cool South Mumbai, we follow the lives of DINOO (Armaan Jain) and KARISHMA (Deeksha Seth), their lifestyle and attitude... Young & restless who want to live life on their own terms! They are constantly frolicking around the city and painting the town red with their friends. When their exciting lives gets jolted with the pressure Karishma’s family is piling on to getting her hitched, she and her rebellious best friend, Dino, realize that its THEY who are in fact ‘made for each other’. Being the rulers of their destiny, they elope to forge a lifetime of love, fun and freedom. But they are yet to learn that life isn’t that simple. And sometimes who you love the most… can become the biggest problem. LHDD follows a year in the young and passionate lives of Dino and Karishma who go through friendship, disillusionment, shame, conflict and heartbreak until they realize true love. But they question is – will they make the same mistake...again??!",,2014,130,1.25,False,2014-07-04,Lekar Hum Deewana Dil,hi,,7.3,3
Humpty Sharma Ki Dulhania,276928,,Shashank Khaitan,"['Varun Dhawan', 'Alia Bhatt', 'Ashutosh Rana', 'Sidharth Shukla', 'Aditya Sharma', 'Deepika Amin', 'Gaurav Pandey', 'Sahil Vaid']",,"Drama, Comedy, Romance",0,0,"A girl from Ambala, Kavya Pratap Singh, is about to be married. When she visits Delhi to shop for her 'dhai lakh ka Ghagra'(wedding dress worth Rs. 2.5 Lakh), she meets Humpty Sharma, a carefree Delhiite, and falls in love with him.",,2014,133,7.013,False,2014-07-11,हम्प्टी शर्मा की दुल्हनिया,hi,,6.414,88
Munna Mange Memsaab,347211,,Shareeph Mansuri Saranawala,"['Omkar Das Manikpuri', 'Razak Khan', 'Jordiya Anna', 'Himani Shivpuri']",,,0,0,Munna Mange Memsaab has been in the making for some time now. This film is directed by Shareeph Mansuri Saranawala while Ajay Gupta and Jayshree Bothra are the producers. The film will be distributed by Jai Viratra Entertainment Limited.,,2014,145,1.095,False,2014-07-11,Munna Mange Memsaab,en,,0.0,0
