Title,Id,Trailer Link,Director,Cast,genre_ids,Genre,Budget,Revenue,Overview,Homepage,Year,Runtime,Popularity,Adult,Release_Date,Original_Title,Original_Language,Tagline,Vote_Average,Vote_Count
Pata Nahi Rabb Kehdeyan Rangan Ch Raazi,137208,https://www.youtube.com/watch?v=-tSTQqSuTAA,Ravindra Peepat,"['Neeru Bajwa', 'Tarun Khanna', 'Gurpreet Ghuggi', 'Rana Ranbir', 'Amar Noorie', 'Rana Jung Bahadur', 'Sunita Dhir', 'Shavinder Mahal', 'Shruti Khanna', 'Sardar Sohi', 'Harpal Singh', 'Anita Shabdeesh', 'Dr. Ranjeet', 'Malkit Singh', 'Harry Josh', 'Naresh Kathuria', 'Shakku Rana', 'B.N. Sharma', 'Vikram Grover', 'Lakha Lehri', 'Tejinder Kaur', 'Balkar Singh Sidhu', 'Satsinder Singh']",,Romance,0,0,"Pata Nahi Rabb Kehdeyan Rangan Ch Raazi is the story of Harman, his life, his struggle and his dreams. His dream is to see his ailing parents happy and healthy and to get Simran as his life partner who hails from a very rich family.  Ashamed of his poverty, he leaves India and reaches Bangkok to rise in life. His life takes a fortunate turn in Bangkok with the help of hotelier, Gurvinder and his pretty daughter, Preet who has a soft corner for Harman. However, unaware of Preet’s feelings Harman returns to India as a rich man.",,2012,153,1.167,False,2012-02-17,Pata Nahi Rabb Kehdeyan Rangan Ch Raazi,pa,,0.0,0
Rehmataan,880991,,,[],,,0,0,"When innumerable social evils creep upon a traditional Punjabi society, people struggle to believe in the power of good.",,,0,0.6,False,,Rehmataan,en,,0.0,0
Mirza: The Untold Story,102088,https://www.youtube.com/watch?v=Txux104Yb6g,Baljit Singh Deo,"['Gippy Grewal', 'Mandy Takhar', 'Rahul Dev', 'Yo Yo Honey Singh', 'Binnu Dhillon', 'Paramjit Gill', 'Aman Khatkar', 'Jaggi Singh']",,"Action, Comedy, Crime",0,0,"Mirza: The Untold Story is based on the legendary love story of Mirza and Sahiba. Mirza is being played by Gippy Grewal and Sahiba is played by Mandy Takhar. Mirza and Sahiba fall in love with each other at a very young age. However, one of her brother’s, Jeet (Rahul Dev) disapproves of their relationship and forcefully distances them apart.",,2012,167,2.054,False,2012-04-06,Mirza: The Untold Story,pa,,6.0,1
Taur Mittran Di,137454,,Navaniat Singh,"['Amrinder Gill', 'Surveen Chawla', 'Rannvijay Singha', 'Binnu Dhillon', 'B.N. Sharma', 'Japji Khaira', 'Rana Ranbir']",,,0,0,Campus rivals bond over hockey.,,2012,135,1.997,False,2012-05-11,Taur Mittran Di,en,,0.0,0
Aappan Pher Milange,664857,,,"['Gracy Singh', 'Vishal Karwal', 'Jaswinder Bhalla', 'Kanwaljit Singh', 'Smita Jaykar', 'Girja Shankar', 'Parmod Pabbi', 'Amar Noorie', 'Mani Kapoor', 'Sudesh Dhiman', 'Jas Dhillon', 'Gurminder Kaur Chahal', 'Master Fateh Singh Chahal', 'Master Jasbir Singh Chahal', 'Jatinder Suri', 'Kamlesh Sharma', 'Satwinder Kaur', 'Teji Sandhu', 'G.S. Bajwa', 'Paramjit Pummy', 'Pawan Chopra', 'Monika Kalsi', 'Jagjit Singh Bhullar', 'Satinder Kaur Bhamra', 'Rasna Bhamra', 'Varinda', 'Navin Gulati', 'Raj Sahni', 'Lakhwinder Toni', 'Tamanna Verma', 'Nirupama', 'Ashok Chadha', 'Dharmash Sood', 'Gurinder Guri', 'Jake Touzel']",,,0,0,Aappan Pher Milange is a 2012 Punjabi Drama film written and directed by Ravinder Ravi. The Movie stars Jaswinder Bhalla in the lead role along with Smita,,2012,132,0.629,False,2012-05-25,Aappan Pher Milange,pa,,0.0,0
Kabaddi Once Again,137497,https://www.youtube.com/watch?v=JFYQVdXAce0,Sukhminder Dhanjal,"['Varinder Singh Ghuman', 'Sudeepa Singh', 'Amar Noorie', 'Jaswinder Bhalla', 'Rana Jung Bahadur', 'Anita Shabdeesh', 'Rana Ranbir', 'Binnu Dhillon', 'Sapanpreet Kaur', 'Darsham Barri', 'Sardar Sohi', 'Nachhatar Gill', 'Roshan Prince', 'Jasmer Dhatt', 'Yaad Garewal', 'Master Sanket Dhanjal', 'Baby Simmi Sharma', 'Balraj Syal', 'Dilawar Sidhu', 'Randhir Dhira', 'Rajesh Vashisth', 'Satnam Moga', 'Charanjit Saina', 'Mahabir Bhullar', 'Harpal Sidhu', 'Prakash Gadhu', 'Malkeet Rauni', 'Balbir Bittu', 'Balraj Balha', 'Sadhu Singh', 'Jasvir Jeetu', 'Rana Banwali Pur', 'Gurpreet Sanghera']",,,0,0,A naive Kabaddi player vows to clean up the game when he discovers how it has been infiltrated by criminal elements.,,2012,160,1.535,False,2012-06-08,Kabaddi Once Again,pa,,0.0,0
Desi Romeos,137498,https://www.youtube.com/watch?v=MD4Ca1Hbw1o,Shafaq Khan,"['Babbu Mann', 'Bittu', 'Sherry', 'Raavi', 'Mitesh', 'Harjit Harman', 'Jia Sharma']",,Romance,0,0,"Desi Romeos is the story of six boys who are popular in college for their music. It describes  their journey from the days of the hostel to house no. 55, where they stay on rent and where romance blossoms between them and the girls (JULIET) staying as PG (Paying Guest)in the house opposite them to the jail. Desi Romeos’ is a fun filled story of a normal group of boys with lots of action, romance and music, keeping you entertained throughout",,2012,157,1.343,False,2012-07-13,Desi Romeos,en,,0.0,0
Jatt & Juliet,124380,https://www.youtube.com/watch?v=q8aq0WAZFlM,Anurag Singh,"['Diljit Dosanjh', 'Neeru Bajwa', 'Jaswinder Bhalla', 'Upasna Singh', 'Rana Ranbir', 'B.N. Sharma', 'Karamjit Anmol', 'Balinder Johal', 'Sari Mercer', 'Amrinder Gill', 'Anita Devgan']",,"Comedy, Romance",0,0,Jatt is a mischievous lovable sort of a guy whilst Juliet is the typical Punjabi modern day girl. Sparks fly when their paths cross on their way to Canada due to their different outlook on life. But as faith brings them together time and time again their hatred for each slowly turns into friendship only to realize its true meaning when they get separated. Will life give them one more chance to prove their love for each other or will they continue to be at loggerheads?,,2012,140,2.027,False,2012-06-29,ਜੱਟ ਐਂਡ ਜੂਲੀਅਟ,pa,,7.7,10
Yaraan Naal Baharaan 2,137516,,Samit Brar,[],,,0,0,A Punjabi comedy.,,2012,0,0.6,False,2012-07-13,Yaraan Naal Baharaan 2,en,,0.0,0
Carry on Jatta,123463,https://www.youtube.com/watch?v=7UoOy9PvJrA,Smeep Kang,"['Gippy Grewal', 'Mahie Gill', 'Gurpreet Ghuggi', 'Binnu Dhillon', 'Jaswinder Bhalla', 'Preeto Sawhney', 'B.N. Sharma', 'Karamjit Anmol', 'Rana Ranbir', 'Khushboo Grewal', 'Sardar Sohi', 'Inderjit Nikku', 'Harby Sangha', 'Naresh Kathooria']",,"Comedy, Drama",0,0,"Jass falls in love with Mahie who is interested in marrying an orphan. While they both marry each other, Jass hides his marriage from his family.",,2012,140,1.723,False,2012-07-27,Carry on Jatta,pa,,8.2,14
