Title,Id,Trailer Link,Director,Cast,genre_ids,Genre,Budget,Revenue,Overview,Homepage,Year,Runtime,Popularity,Adult,Release_Date,Original_Title,Original_Language,Tagline,Vote_Average,Vote_Count
Nota,357452,https://www.youtube.com/watch?v=88IuZOoGpN4,Yasu Tanaka,"['Maya Karin', 'Rin Izumi', 'Hans Isaac', 'Ramli Hassan']",,"Mystery, Crime, Drama",0,0,"Kamal and Erin, a couple facing midlife crisis after prolonged lack of real communication, caused by years of failure at trying to have a baby. On their 10th year anniversary, they decide to have a trip to Bako National Park where they had their trip over 10 years ago to reignite their bond of love and marriage.On their way to Bako, Erin inadvertently discovers that Kamal is drafting a note that implies he is planning to end it all. Shocked, she starts feeling sorry for Kamal and also feels guilty about the situation. But later she finds out Kamal's secret, that makes her infuriated and upset, so she begins to plan the perfect murder, using his note as strong evidence of his death. Her plans goes awry, once a local Sarawakian, Jemat, their boatman to the isolated National Park comes into the picture...",https://42ndpictures.com/film-tv/#nota,2015,94,1.375,False,2015-08-13,Nota,ms,A relationship on the edge...,6.0,1
Aravinda Sametha Veera Raghava,534530,,Trivikram Srinivas,"['N. T. Rama Rao Jr.', 'Pooja Hegde', 'Jagapati Babu', 'Eesha Rebba', 'Supriya Pathak', 'Sunil Varma', 'Srinivasa Reddy', 'Rao Ramesh', 'Brahmaji', 'Naveen Chandra', 'Naresh', 'Shatru', 'Vinay Varma', 'Devayani', 'Sithara', 'Easwari Rao', 'Subhalekha Sudhakar', 'Hari Teja', 'Ravi Prakash', 'Sharath Lohitashwa', 'Shankar Melkote', 'Aadarsh Balakrishna', 'Nagendra Babu', 'Lakshmi Gopalaswamy']",,"Action, Drama",0,0,A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.,,2018,162,6.227,False,2018-10-11,అరవింద సమేత వీర రాఘవ,te,,7.05,20
Hello Guru Prema Kosame,517508,https://www.youtube.com/watch?v=8Q4o87KPInY,Trinadha Rao Nakkina,"['Ram Pothineni', 'Anupama Parameswaran', 'Prakash Raj', 'Pranitha Subhash', 'Posani Krishna Murali', 'Sithara', 'Jayaprakash', 'Noel Sean', 'Sayaji Shinde', 'Suresh', 'Saptagiri', 'Praveen', 'Satya']",,"Romance, Family",2123894,5479646,"After a rocky start, a friendship develops between a happy-go-lucky youth and a girl from the city.",,2018,145,2.859,False,2018-10-18,హలో గురు ప్రేమ కోసమే,te,,6.091,11
My Friend's Nice Mother 2,860314,,,['Jin Si-ah'],,Romance,0,0,,,2018,0,32.464,False,2018-04-26,착한 엄마친구 2,ko,,5.0,1
Ratham,687620,,,"['Chandni Bhagwanani', 'Geetanand']",,,0,0,A father who treats his daughter and wife unjustly neglecting them by getting involved in issues which do not concern him. After a due course of time he lands up in jail and stays away from his family and native place for a very long time. He will come to know that his daughter is in love with a personality similar to his when he is out of the jail.,,2018,129,0.6,False,2018-10-26,Ratham,te,,0.0,0
Veera Bhoga Vasantha Rayalu,557252,https://www.youtube.com/watch?v=dw52V-zS8zY,R. Indrasena,"['Nara Rohith', 'Shriya Saran', 'Sudheer Babu', 'Sree Vishnu', 'Srinivasa Reddy', 'Ravi Prakash']",,"Crime, Thriller",0,0,"Missing are a flight consisting of 300 VIPs, a house along with the couple that inhabit it and an orphaned girl child. Embroiled in midst of all three cases are two young boys and a man calling himself Veera Bhoga Vasantha Rayalu. What is the mystery behind either of these cases?",,2018,121,2.08,False,2018-10-26,వీరభోగ వంసతరాయలు,te,,7.3,3
Savyasachi,536420,https://www.youtube.com/watch?v=An9lC-F_HMg,Chandoo Mondeti,"['Naga Chaitanya Akkineni', 'R. Madhavan', 'Nidhhi Agerwal', 'Bhumika Chawla', 'Vennela Kishore', 'Dishita Sehgal', 'Rao Ramesh', 'Thagubothu Ramesh', 'Shakalaka Shankar', 'Chelsea Lee Wheatley', 'Leon Gonzalez', 'Vidyullekha Raman', 'Bharath Reddy', 'Nagineedu Vellanki', 'Brahmaji', 'Prashanth Kumar Dimmala']",,"Thriller, Action",0,0,"A twin brother of the protagonist is absorbed due to Vanishing Twin Syndrome and controls his left hand. When his life is threatened, the twin brother that never existed protects him like a shield.",,2018,151,2.467,False,2018-11-02,సవ్యసాచి,te,,5.4,12
Adhugo,560203,https://www.youtube.com/watch?v=h5pBxB_X0l8,Ravi Babu,"['Ravi Babu', 'Nabha Natesh', 'Kanal Kannan', 'Poorna', 'Abhishek Verma']",,,0,0,"Bunty, the little pink piglet is the apple of Chanti’s (Sathwik) eye. But what happens when this innocent little creature is embroiled with people who each have their own agenda to seek?",,2018,110,2.362,False,2018-01-29,అదుగో,te,,7.0,1
Kartha Karma Kriya,583934,https://www.youtube.com/watch?v=A2H2kWdiusQ,Nagu Gavara,"['Ravi Varma', 'Raghu Babu', 'Nutan Rai', 'Sahar Afsha', 'Jayaprakash', 'Y. Kasi Viswanath', 'Sri Sudha Bhimireddy', 'Kadambari Kiran', 'Vasant Sameer', 'Jabardasth Ramprasad', 'Sandhya Peddhada']",,"Crime, Thriller",0,0,"Sidhu is a playful youth who works in a mobile store. His only aim is to earn easy money. As time passes, he falls in love with Mythri who in turn is looking for the murderer of her sister. Knowing this, Siddhu starts helping Mythri and finds out that there are two other girls who have died in the same manner as her sister. Who is the murderer and what did he gain forms the rest of the story.",,2018,130,1.0,False,2018-11-08,Kartha Karma Kriya,te,,6.0,1
Amar Akbar Anthony,38022,https://www.youtube.com/watch?v=Ee275ya4JMI,Manmohan Desai,"['Vinod Khanna', 'Rishi Kapoor', 'Amitabh Bachchan', 'Parveen Babi', 'Shabana Azmi', 'Neetu Singh', 'Pran', 'Nirupa Roy', 'Jeevan', 'Helen', 'Yusuf Khan', 'Mukri', 'Nazir Hussain', 'Kamal Kapoor', 'Hercules', 'Shivraj', 'Pratima Devi', 'Moolchand', 'Master Bittoo', 'Master Ravi', 'Baby Sabina', 'Master Tito', 'Nadira', 'Madhumati', 'Ranjeet']",,"Action, Comedy, Drama",10000000,0,"Bollywood action comedy film with a lost and found theme, about three brothers separated during their childhood who grew up in three homes, adopting three religions. They meet in their youth to fight a common villain. It was the biggest blockbuster of 1977, and won several awards at 25th Filmfare Awards including Best Actor, Best Music Director and Best Editing.",,1977,184,4.449,False,1977-05-27,अमर अकबर एन्थोनी,hi,,6.797,59
